sample_id,query,split,generated_code
202125900,What is the small audience sitting on?,testdev,"
    image_patch = ImagePatch(image)
    audience_patches = image_patch.find(""audience"")
    # Question assumes only one audience patch
    if len(audience_patches) == 0:
        # If no audience is found, query the image directly
        return image_patch.simple_query(""What is the small audience sitting on?"")
    for audience_patch in audience_patches:
        if audience_patch.height < 100:
            return audience_patch.simple_query(""What is the small audience sitting on?"")
    return ""a stage"""
201447132,What piece of furniture is above the sink?,testdev,"
    image_patch = ImagePatch(image)
    sink_patches = image_patch.find(""sink"")
    # Question assumes only one sink patch
    if len(sink_patches) == 0:
        # If no sink is found, query the image directly
        return image_patch.simple_query(""What piece of furniture is above the sink?"")
    for sink_patch in sink_patches:
        if sink_patch.vertical_center < image_patch.vertical_center:
            return ""furniture""
    return ""sink"""
20753180,What's the boy sitting on top of?,testdev,"
    image_patch = ImagePatch(image)
    boy_patches = image_patch.find(""boy"")
    # Question assumes only one boy patch
    if len(boy_patches) == 0:
        # If no boy is found, query the image directly
        return image_patch.simple_query(""What's the boy sitting on top of?"")
    for boy_patch in boy_patches:
        if boy_patch.vertical_center < image_patch.vertical_center:
            return ""a chair""
    return ""a table"""
202006979,What is inside the utensil holder?,testdev,"
    image_patch = ImagePatch(image)
    utensil_holder_patches = image_patch.find(""utensil holder"")
    # Question assumes only one utensil holder patch
    if len(utensil_holder_patches) == 0:
        # If no utensil holder is found, query the image directly
        return image_patch.simple_query(""What is inside the utensil holder?"")
    for utensil_holder_patch in utensil_holder_patches:
        utensil_patches = image_patch.find(""utensil"")
        for utensil_patch in utensil_patches:
            if utensil_holder_patch.horizontal_center == utensil_patch.horizontal_center and utensil_holder_patch.vertical_center == utensil_patch.vertical_center:
                return utensil_patch.simple_query(""What is inside the"
201662992,Is the floor tan and dirty?,testdev,"
    image_patch = ImagePatch(image)
    floor_patches = image_patch.find(""floor"")
    # Question assumes only one floor patch
    if len(floor_patches) == 0:
        # If no floor is found, query the image directly
        return image_patch.simple_query(""Is the floor tan and dirty?"")
    for floor_patch in floor_patches:
        is_tan = (floor_patch.simple_query(""Is the floor tan?"") == ""yes"")
        is_dirty = (floor_patch.simple_query(""Is the floor dirty?"") == ""yes"")
        if is_tan and is_dirty:
            return ""yes""
    return ""no"""
202228670,Are the towels white and dirty?,testdev,"
    image_patch = ImagePatch(image)
    towels_patches = image_patch.find(""towel"")
    # Question assumes only one towel patch
    if len(towels_patches) == 0:
        # If no towels are found, query the image directly
        return image_patch.simple_query(""Are the towels white and dirty?"")
    for towel_patch in towels_patches:
        is_white = (towel_patch.simple_query(""Is the towel white?"") == ""yes"")
        is_dirty = (towel_patch.simple_query(""Is the towel dirty?"") == ""yes"")
        if is_white and is_dirty:
            return ""yes""
    return ""no"""
20652425,What color is the tall person?,testdev,"
    image_patch = ImagePatch(image)
    tall_person_patches = image_patch.find(""tall person"")
    # Question assumes only one tall person patch
    if len(tall_person_patches) == 0:
        # If no tall person is found, query the image directly
        return image_patch.simple_query(""What color is the tall person?"")
    return tall_person_patches[0].simple_query(""What color is the tall person?"")"
20480016,Is the desk both brown and small?,testdev,"
    image_patch = ImagePatch(image)
    desk_patches = image_patch.find(""desk"")
    # Question assumes only one desk patch
    if len(desk_patches) == 0:
        # If no desk is found, query the image directly
        return image_patch.simple_query(""Is the desk both brown and small?"")
    for desk_patch in desk_patches:
        if desk_patch.verify_property(""desk"", ""brown"") and desk_patch.verify_property(""desk"", ""small""):
            return ""yes""
    return ""no"""
201303519,How tall is the chair that the man stands beside of?,testdev,"
    image_patch = ImagePatch(image)
    chair_patches = image_patch.find(""chair"")
    # Question assumes only one chair patch
    if len(chair_patches) == 0:
        # If no chair is found, query the image directly
        return image_patch.simple_query(""How tall is the chair that the man stands beside of?"")
    return chair_patches[0].simple_query(""How tall is the chair that the man stands beside of?"")"
20248155,What kind of clothing is striped?,testdev,"
    image_patch = ImagePatch(image)
    clothing_patches = image_patch.find(""clothing"")
    # Question assumes only one clothing patch
    if len(clothing_patches) == 0:
        # If no clothing is found, query the image directly
        return image_patch.simple_query(""What kind of clothing is striped?"")
    for clothing_patch in clothing_patches:
        is_striped = (clothing_patch.simple_query(""Is the clothing striped?"") == ""yes"")
        if is_striped:
            return clothing_patch.simple_query(""What kind of clothing is striped?"") # crop would include the striped so keep it in the query
    # If no clothing is striped, pick the first clothing
    return clothing_patches[0].simple_query(""What kind of clothing is striped?"")"
20491941,What is the large bear looking at?,testdev,"
    image_patch = ImagePatch(image)
    large_bear_patches = image_patch.find(""large bear"")
    # Question assumes only one large bear patch
    if len(large_bear_patches) == 0:
        # If no large bear is found, query the image directly
        return image_patch.simple_query(""What is the large bear looking at?"")
    for large_bear_patch in large_bear_patches:
        if large_bear_patch.verify_property(""large bear"", ""looking at""):
            return large_bear_patch.simple_query(""What is the large bear looking at?"")
    # If no large bear is looking at anything, query the image directly
    return image_patch.simple_query(""What is the large bear looking at?"")"
201322441,What do the street sign and the bus have in common?,testdev,"
    image_patch = ImagePatch(image)
    street_sign_patches = image_patch.find(""street sign"")
    # Question assumes only one street sign patch
    if len(street_sign_patches) == 0:
        # If no street sign is found, query the image directly
        return image_patch.simple_query(""What do the street sign and the bus have in common?"")
    bus_patches = image_patch.find(""bus"")
    # Question assumes only one bus patch
    if len(bus_patches) == 0:
        # If no bus is found, query the image directly
        return image_patch.simple_query(""What do the street sign and the bus have in common?"")
    for bus_patch in bus_patches:
        for street_sign_patch in street_sign_patches:
            if street_sign_patch.horizontal_center == bus_patch.horizontal_center:
               "
20248122,Are the glasses to the left or to the right of the person the woman is sitting next to?,testdev,"
    image_patch = ImagePatch(image)
    glasses_patches = image_patch.find(""glasses"")
    # Question assumes only one glasses patch
    if len(glasses_patches) == 0:
        # If no glasses are found, query the image directly
        return image_patch.simple_query(""Are the glasses to the left or to the right of the person the woman is sitting next to?"")
    for glasses_patch in glasses_patches:
        woman_patches = image_patch.find(""woman"")
        for woman_patch in woman_patches:
            if glasses_patch.horizontal_center < woman_patch.horizontal_center:
                return ""left""
            else:
                return ""right""
    # If no woman is found, query the image directly
    return image_patch.simple_query(""Are the glasses to the left or to the right of the person the woman is"
201153446,Is the jacket that is made of leather black and open?,testdev,"
    image_patch = ImagePatch(image)
    jacket_patches = image_patch.find(""jacket"")
    # Question assumes only one jacket patch
    if len(jacket_patches) == 0:
        # If no jacket is found, query the image directly
        return image_patch.simple_query(""Is the jacket that is made of leather black and open?"")
    for jacket_patch in jacket_patches:
        is_made_of_leather = (jacket_patch.simple_query(""Is the jacket made of leather?"") == ""yes"")
        is_black = (jacket_patch.simple_query(""Is the jacket black?"") == ""yes"")
        is_open = (jacket_patch.simple_query(""Is the jacket open?"") == ""yes"")
        if is_made_of_leather and is_black and is_open:
            return"
201861297,Are there any black coffee tables or mirrors in the photo?,testdev,"
    image_patch = ImagePatch(image)
    is_black_coffee_table = image_patch.exists(""black coffee table"")
    is_mirror = image_patch.exists(""mirror"")
    return bool_to_yesno(is_black_coffee_table or is_mirror)"
201623664,Is the sink that is not turned on silver and curved?,testdev,"
    image_patch = ImagePatch(image)
    sink_patches = image_patch.find(""sink"")
    # Question assumes only one sink patch
    if len(sink_patches) == 0:
        # If no sink is found, query the image directly
        return image_patch.simple_query(""Is the sink that is not turned on silver and curved?"")
    for sink_patch in sink_patches:
        if not sink_patch.verify_property(""sink"", ""turned on""):
            return ""yes""
    return ""no"""
20468326,Which place is it?,testdev,"
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Which place is it?"")"
20789989,Is the sky cloudy?,testdev,"
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Is the sky cloudy?"")"
201879042,What is the sign larger than?,testdev,"
    image_patch = ImagePatch(image)
    signs_patches = image_patch.find(""sign"")
    # Question assumes only one sign patch
    if len(signs_patches) == 0:
        # If no sign is found, query the image directly
        return image_patch.simple_query(""What is the sign larger than?"")
    for sign_patch in signs_patches:
        if sign_patch.width > sign_patch.height:
            return ""sign""
    return ""letter"""
201984151,Is the happy person wearing a helmet?,testdev,"
    image_patch = ImagePatch(image)
    happy_patches = image_patch.find(""happy"")
    # Question assumes only one happy patch
    if len(happy_patches) == 0:
        # If no happy is found, query the image directly
        return image_patch.simple_query(""Is the happy person wearing a helmet?"")
    for happy_patch in happy_patches:
        helmet_patches = image_patch.find(""helmet"")
        for helmet_patch in helmet_patches:
            if helmet_patch.horizontal_center > happy_patch.horizontal_center:
                return ""yes""
    return ""no"""
20611590,Is the cheese that is to the right of the spoon small and round?,testdev,"
    image_patch = ImagePatch(image)
    cheese_patches = image_patch.find(""cheese"")
    # Question assumes only one cheese patch
    if len(cheese_patches) == 0:
        # If no cheese is found, query the image directly
        return image_patch.simple_query(""Is the cheese that is to the right of the spoon small and round?"")
    for cheese_patch in cheese_patches:
        spoon_patches = image_patch.find(""spoon"")
        for spoon_patch in spoon_patches:
            if spoon_patch.horizontal_center > cheese_patch.horizontal_center:
                return bool_to_yesno(cheese_patch.verify_property(""cheese"", ""small"") and cheese_patch.verify_property(""cheese"", ""round""))
    return ""no"""
202121382,What contains cups?,testdev,"
    image_patch = ImagePatch(image)
    cups_patches = image_patch.find(""cups"")
    # Question assumes only one cups patch
    if len(cups_patches) == 0:
        # If no cups are found, query the image directly
        return image_patch.simple_query(""What contains cups?"")
    return cups_patches[0].simple_query(""What contains cups?"")"
