sample_id,query,generated_code
14145991,Are the white blinds to the right of a clock?," # assumes only one clock
    image_patch = ImagePatch(image)
    white_blinds_patches = image_patch.find(""white blinds"")
    # Question assumes only one white blinds patch
    if len(white_blinds_patches) == 0:
        # If no white blinds are found, query the image directly
        return image_patch.simple_query(""Are the white blinds to the right of a clock?"")
    for white_blinds_patch in white_blinds_patches:
        clock_patches = image_patch.find(""clock"")
        if len(clock_patches) == 0:
            # If no clock is found, query the image directly
            return image_patch.simple_query(""Are the white blinds to the right of a clock?"")
        for clock_patch in clock_patches:
            if white_blinds_patch.horizontal_center > clock_patch.horizontal_center:
                return ""yes""
    return ""no""

# What is on the table?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is on the table?"")

# What is the man looking at?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    # contains a relation (around, next to, on, near, on top of, in front of, behind, etc), so ask directly
    return image_patch.simple_query(""What is the man looking at?"")

# Is there a cat?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    return bool_to_yesno(image_patch.exists(""cat""))

# Is the cat in"
16906415,Which kind of furniture is to the left of the bed?," # bed is assumed to be the main object of interest
    image_patch = ImagePatch(image)
    bed_patches = image_patch.find(""bed"")
    # Question assumes only one bed patch
    if len(bed_patches) == 0:
        # If no bed is found, query the image directly
        return image_patch.simple_query(""Which kind of furniture is to the left of the bed?"")
    for bed_patch in bed_patches:
        furniture_patches = image_patch.find(""furniture"")
        for furniture_patch in furniture_patches:
            if furniture_patch.horizontal_center < bed_patch.horizontal_center:
                return furniture_patch.simple_query(""What kind of furniture is this?"")
    # If no furniture is to the left of the bed, query the image directly
    return image_patch.simple_query(""Which kind of furniture is to the left of the bed?"")

# Is the TV blue?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    return bool_to_yesno(image_patch.verify_property(""TV"", ""blue""))

# What color is the shirt?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    shirt_patches = image_patch.find(""shirt"")
    # Question assumes only one shirt patch
    if len(shirt_patches) == 0:
        # If no shirt is found, query the image directly
        return image_patch.simple_query(""What color is the shirt?"")
    return shirt_patches[0].simple_query(""What color is the shirt?"")

# Is the pillow on top of the blanket?
def execute_command(image)->"
294499,Are there any bikes or cars?," # assumes only one bike or car
    image_patch = ImagePatch(image)
    is_bike = image_patch.exists(""bike"")
    is_car = image_patch.exists(""car"")
    return bool_to_yesno(is_bike or is_car)

# What type of vehicle is driving on the road?
def execute_command(image)->str: # assumes only one vehicle
    image_patch = ImagePatch(image)
    vehicle_patches = image_patch.find(""vehicle"")
    if len(vehicle_patches) == 0:
        return image_patch.simple_query(""What type of vehicle is driving on the road?"")
    vehicle_patch = vehicle_patches[0]
    return vehicle_patch.simple_query(""What type of vehicle is driving on the road?"")

# What is the man sitting next to?
def execute_command(image)->str: # assumes only one man
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    if len(man_patches) == 0:
        return image_patch.simple_query(""What is the man sitting next to?"")
    man_patch = man_patches[0]
    object_patches = image_patch.find(""object"")
    closest_object_patch = min(object_patches, key=lambda object_patch: abs(object_patch.horizontal_center - man_patch.horizontal_center))
    return closest_object_patch.simple_query(""What is the man sitting next to?"")

# What is the animal standing next to?
def execute_command(image)->str: # assumes only one animal
    image_patch = ImagePatch(image)
    animal_patches = image_patch.find(""animal"")
    if len(animal_patches) =="
7125126,What is the man guiding?," # assumes only one man patch
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""What is the man guiding?"")
    man_patch = man_patches[0]
    guiding_patches = image_patch.find(""guiding"")
    # Question assumes one guiding patch
    if len(guiding_patches) == 0:
        return image_patch.simple_query(""What is the man guiding?"")
    guiding_patch = guiding_patches[0]
    if guiding_patch.horizontal_center > man_patch.horizontal_center:
        return guiding_patch.simple_query(""What is the man guiding?"")
    return man_patch.simple_query(""What is the man guiding?"")

# What is the woman sitting on?
def execute_command(image)->str: # assumes only one woman patch
    image_patch = ImagePatch(image)
    woman_patches = image_patch.find(""woman"")
    if len(woman_patches) == 0:
        # If no woman is found, query the image directly
        return image_patch.simple_query(""What is the woman sitting on?"")
    woman_patch = woman_patches[0]
    sitting_patches = image_patch.find(""sitting"")
    # Question assumes one sitting patch
    if len(sitting_patches) == 0:
        return image_patch.simple_query(""What is the woman sitting on?"")
    sitting_patch = sitting_patches[0]
    if sitting_patch.horizontal_center > woman_patch.horizontal_center:
        return sitting_patch.simple_query("""
13561987,What is the avocado on?," # assumes one avocado patch
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is the avocado on?"")

# Is the picture taken outside?
def execute_command(image)->str: # assumes one picture patch
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""Is the picture taken outside?"")

# Is the tree in front of the house?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    tree_patches = image_patch.find(""tree"")
    # Question assumes only one tree patch
    if len(tree_patches) == 0:
        # If no tree is found, query the image directly
        return image_patch.simple_query(""Is the tree in front of the house?"")
    for tree_patch in tree_patches:
        house_patches = image_patch.find(""house"")
        # Question assumes only one house patch
        if len(house_patches) == 0:
            return ""no""
        for house_patch in house_patches:
            if tree_patch.horizontal_center < house_patch.horizontal_center:
                return ""yes""
    return ""no""

# What is the person in the picture looking at?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is the person in the picture looking at?"")

# What is the person in the picture holding?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is the person in the picture holding?"")

# Is the person in the picture sitting"
15472689,What is the color of the shirt the woman is wearing?," # crop would include the shirt so keep it in the query
    image_patch = ImagePatch(image)
    woman_patches = image_patch.find(""woman"")
    # Question assumes only one woman patch
    if len(woman_patches) == 0:
        # If no woman is found, query the image directly
        return image_patch.simple_query(""What is the color of the shirt the woman is wearing?"")
    woman_patch = woman_patches[0]
    shirt_patches = image_patch.find(""shirt"")
    # Question assumes only one shirt patch
    if len(shirt_patches) == 0:
        return image_patch.simple_query(""What is the color of the shirt the woman is wearing?"")
    shirt_patch = shirt_patches[0]
    return shirt_patch.simple_query(""What is the color of the shirt the woman is wearing?"")

# Is the cat eating?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    cat_patches = image_patch.find(""cat"")
    # Question assumes only one cat patch
    if len(cat_patches) == 0:
        # If no cat is found, query the image directly
        return image_patch.simple_query(""Is the cat eating?"")
    for cat_patch in cat_patches:
        return bool_to_yesno(cat_patch.verify_property(""cat"", ""eating"")) # crop would include eating so keep it in the query

# What is the man holding?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man"
12757581,What cooking utensil is left of the oven?," # assumes only one cooking utensil
    image_patch = ImagePatch(image)
    cooking_utensil_patches = image_patch.find(""cooking utensil"")
    if len(cooking_utensil_patches) == 0:
        return image_patch.simple_query(""What cooking utensil is left of the oven?"")
    cooking_utensil_patch = cooking_utensil_patches[0]
    if cooking_utensil_patch.horizontal_center < image_patch.horizontal_center:
        return cooking_utensil_patch.simple_query(""What cooking utensil is left of the oven?"")
    return cooking_utensil_patches[0].simple_query(""What cooking utensil is right of the oven?"") # crop would include the oven so keep it in the query

# Is there a guitar or a piano?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    is_guitar = image_patch.exists(""guitar"")
    is_piano = image_patch.exists(""piano"")
    return bool_to_yesno(is_guitar or is_piano)

# Is the horse wearing a blue shirt?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    horse_patches = image_patch.find(""horse"")
    # Question assumes only one horse patch
    if len(horse_patches) == 0:
        # If no horse is found, query the image directly
        return image_patch.simple_query(""Is the horse wearing a blue shirt?"")
    horse_patch = horse_patches[0]
    shirt_patches = image_patch.find(""shirt"")
    # Question assumes only one shirt"
7639953,What is in the box?," # assumes there is only one box
    image_patch = ImagePatch(image)
    box_patches = image_patch.find(""box"")
    # Question assumes only one box patch
    if len(box_patches) == 0:
        # If no box is found, query the image directly
        return image_patch.simple_query(""What is in the box?"")
    box_patch = box_patches[0]
    # contains a relation (around, next to, on, near, on top of, in front of, behind, etc), so ask directly
    return box_patch.simple_query(""What is in the box?"") # crop would include the box so keep it in the query

# Is the man looking at a woman?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find(""man"")
    # Question assumes only one man patch
    if len(man_patches) == 0:
        # If no man is found, query the image directly
        return image_patch.simple_query(""Is the man looking at a woman?"")
    man_patch = man_patches[0]
    woman_patches = image_patch.find(""woman"")
    # Question assumes only one woman patch
    if len(woman_patches) == 0:
        return ""no""
    woman_patch = woman_patches[0]
    return bool_to_yesno(man_patch.horizontal_center < woman_patch.horizontal_center)

# Is the man looking at a child?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    man_patches = image_patch.find("""
12963506,What is the device on the pillow on the right side?," # contains a relation (around, next to, on, near, on top of, in front of, behind, etc), so ask directly
    image_patch = ImagePatch(image)
    return image_patch.simple_query(""What is the device on the pillow on the right side?"")

# Is the cat on the left?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    cat_patches = image_patch.find(""cat"")
    # Question assumes only one cat patch
    if len(cat_patches) == 0:
        # If no cat is found, query the image directly
        return image_patch.simple_query(""Is the cat on the left?"")
    cat_patch = cat_patches[0]
    if cat_patch.horizontal_center < image_patch.horizontal_center:
        return ""yes""
    else:
        return ""no""

# What color is the bag?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    bag_patches = image_patch.find(""bag"")
    # Question assumes only one bag patch
    if len(bag_patches) == 0:
        # If no bag is found, query the image directly
        return image_patch.simple_query(""What color is the bag?"")
    return bag_patches[0].simple_query(""What color is the bag?"")

# Is the cup on the table?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    cup_patches = image_patch.find(""cup"")
    # Question assumes only one cup patch
    if len(cup_patches) == 0:
       "
15276125,Are there any bags or coats that are purple?," # returns yes or no
    image_patch = ImagePatch(image)
    bags_or_coats_patches = image_patch.find(""bags or coats"")
    # Question assumes only one bags or coats patch
    if len(bags_or_coats_patches) == 0:
        # If no bags or coats are found, query the image directly
        return image_patch.simple_query(""Are there any bags or coats that are purple?"")
    if bags_or_coats_patches[0].verify_property(""bags or coats"", ""purple""):
        return ""yes""
    return ""no""

# What type of object is on top of the red box?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    # contains a relation (around, next to, on, near, on top of, in front of, behind, etc), so ask directly
    return image_patch.simple_query(""What type of object is on top of the red box?"")

# Is the cake in the kitchen or the living room?
def execute_command(image)->str:
    image_patch = ImagePatch(image)
    cake_patches = image_patch.find(""cake"")
    # Question assumes only one cake patch
    if len(cake_patches) == 0:
        # If no cake is found, query the image directly
        return image_patch.simple_query(""Is the cake in the kitchen or the living room?"")
    cake_patch = cake_patches[0]
    rooms_patches = image_patch.find(""rooms"")
    # Question assumes only one rooms patch
    if len(rooms_patches) == "
